#1
# columns: time airflow_setpoint
double G36_cooling_only_controller_airflow_setpoint(1441,2)
0.0 0.30000000000000004
60.0 0.0
120.0 0.0
180.0 0.0
240.0 0.0
300.0 0.09483420489240477
360.0 0.11832403825777876
420.0 0.14198805513125878
480.0 0.16582618575526453
540.0 0.18983835705730034
600.0 0.2140244926514265
660.0 0.2383845128396468
720.0 0.26291833461345565
780.0 0.28762587165543496
840.0 0.3125070343408544
900.0 0.33756172973942633
960.0 0.362789861617016
1020.0 0.38819133043754794
1080.0 0.4137660333648347
1140.0 0.43951386426455885
1200.0 0.46543471370631895
1260.0 0.4915284689656727
1320.0 0.5177950140262999
1380.0 0.544234229582221
1440.0 0.5708459930400533
1500.0 0.597630178521348
1560.0 0.6245866568649872
1620.0 0.6517152956296639
1680.0 0.6790159590963658
1740.0 0.7064885082709776
1800.0 0.7341328008869414
1860.0 0.7619486914079527
1920.0 0.7899360310307036
1980.0 0.818094667687779
2040.0 0.8464244460504836
2100.0 0.8749252075318474
2160.0 1.2765400427807476
2220.0 1.2961430875256224
2280.0 1.314853404145341
2340.0 1.332670978882151
2400.0 1.3495962348236727
2460.0 1.365630033893216
2520.0 1.3807736786962268
2580.0 1.3950289142216734
2640.0 1.40839792939735
2700.0 1.4208833584980407
2760.0 1.4324882824055596
2820.0 1.4432162297197322
2880.0 1.4530711777194103
2940.0 1.4620575531726911
3000.0 1.4701802329955003
3060.0 1.4774445447578175
3120.0 1.4838562670368165
3180.0 1.4894216296162572
3240.0 1.4941473135315075
3300.0 1.4980404509596448
3360.0 1.5
3420.0 1.5
3480.0 1.5
3540.0 1.5
3600.0 1.5
3660.0 1.5
3720.0 1.5
3780.0 1.5
3840.0 1.5
3900.0 1.5
3960.0 1.5
4020.0 1.5
4080.0 1.5
4140.0 1.5
4200.0 1.5
4260.0 1.5
4320.0 1.5
4380.0 1.5
4440.0 1.5
4500.0 1.5
4560.0 1.5
4620.0 1.5
4680.0 1.5
4740.0 1.5
4800.0 1.5
4860.0 1.5
4920.0 1.5
4980.0 1.5
5040.0 1.5
5100.0 1.5
5160.0 1.5
5220.0 1.5
5280.0 1.5
5340.0 1.5
5400.0 1.5
5460.0 1.5
5520.0 1.5
5580.0 1.5
5640.0 1.5
5700.0 1.5
5760.0 1.5
5820.0 1.5
5880.0 1.5
5940.0 1.5
6000.0 1.5
6060.0 1.5
6120.0 1.5
6180.0 1.5
6240.0 1.5
6300.0 1.5
6360.0 1.5
6420.0 1.5
6480.0 1.5
6540.0 1.5
6600.0 1.5
6660.0 1.5
6720.0 1.5
6780.0 1.5
6840.0 1.5
6900.0 1.5
6960.0 1.5
7020.0 1.5
7080.0 1.5
7140.0 1.5
7200.0 1.5
7260.0 1.5
7320.0 1.5
7380.0 1.5
7440.0 1.5
7500.0 1.5
7560.0 1.5
7620.0 1.5
7680.0 1.5
7740.0 1.5
7800.0 1.5
7860.0 1.5
7920.0 1.5
7980.0 1.5
8040.0 1.5
8100.0 1.5
8160.0 1.5
8220.0 1.5
8280.0 1.5
8340.0 1.5
8400.0 1.5
8460.0 1.5
8520.0 1.5
8580.0 1.5
8640.0 1.5
8700.0 1.5
8760.0 1.5
8820.0 1.5
8880.0 1.5
8940.0 1.5
9000.0 1.5
9060.0 1.5
9120.0 1.5
9180.0 1.5
9240.0 1.5
9300.0 1.5
9360.0 1.5
9420.0 1.5
9480.0 1.5
9540.0 1.5
9600.0 1.5
9660.0 1.5
9720.0 1.5
9780.0 1.5
9840.0 1.5
9900.0 1.5
9960.0 1.5
10020.0 1.5
10080.0 1.5
10140.0 1.5
10200.0 1.5
10260.0 1.5
10320.0 1.5
10380.0 1.5
10440.0 1.5
10500.0 1.5
10560.0 1.5
10620.0 1.5
10680.0 1.5
10740.0 1.5
10800.0 1.5
10860.0 1.5
10920.0 1.5
10980.0 1.5
11040.0 1.5
11100.0 1.5
11160.0 1.5
11220.0 1.5
11280.0 1.5
11340.0 1.5
11400.0 1.5
11460.0 1.5
11520.0 1.5
11580.0 1.5
11640.0 1.5
11700.0 1.5
11760.0 1.5
11820.0 1.5
11880.0 1.5
11940.0 1.5
12000.0 1.5
12060.0 1.5
12120.0 1.5
12180.0 1.5
12240.0 1.5
12300.0 1.5
12360.0 1.5
12420.0 1.5
12480.0 1.5
12540.0 1.5
12600.0 1.5
12660.0 1.5
12720.0 1.5
12780.0 1.5
12840.0 1.5
12900.0 1.5
12960.0 1.5
13020.0 1.5
13080.0 1.5
13140.0 1.5
13200.0 1.5
13260.0 1.5
13320.0 1.5
13380.0 1.5
13440.0 1.5
13500.0 1.5
13560.0 1.5
13620.0 1.5
13680.0 1.5
13740.0 1.5
13800.0 1.5
13860.0 1.5
13920.0 1.5
13980.0 1.5
14040.0 1.5
14100.0 1.5
14160.0 1.5
14220.0 1.5
14280.0 1.5
14340.0 1.5
14400.0 1.5
14460.0 1.5
14520.0 1.5
14580.0 1.5
14640.0 1.5
14700.0 1.5
14760.0 1.5
14820.0 1.5
14880.0 1.5
14940.0 1.5
15000.0 1.5
15060.0 1.5
15120.0 1.5
15180.0 1.5
15240.0 1.5
15300.0 1.5
15360.0 1.5
15420.0 1.5
15480.0 1.5
15540.0 1.5
15600.0 1.5
15660.0 1.5
15720.0 1.5
15780.0 1.5
15840.0 1.5
15900.0 1.5
15960.0 1.5
16020.0 1.5
16080.0 1.5
16140.0 1.5
16200.0 1.5
16260.0 1.5
16320.0 1.5
16380.0 1.5
16440.0 1.5
16500.0 1.5
16560.0 1.5
16620.0 1.5
16680.0 1.5
16740.0 1.5
16800.0 1.5
16860.0 1.5
16920.0 1.5
16980.0 1.5
17040.0 1.5
17100.0 1.5
17160.0 1.5
17220.0 1.5
17280.0 1.5
17340.0 1.5
17400.0 1.5
17460.0 1.5
17520.0 1.5
17580.0 1.5
17640.0 1.5
17700.0 1.5
17760.0 1.5
17820.0 1.5
17880.0 1.5
17940.0 1.5
18000.0 1.5
18060.0 1.5
18120.0 1.5
18180.0 1.5
18240.0 1.5
18300.0 1.5
18360.0 1.5
18420.0 1.5
18480.0 1.5
18540.0 1.5
18600.0 1.5
18660.0 1.5
18720.0 1.5
18780.0 1.5
18840.0 1.5
18900.0 1.5
18960.0 1.5
19020.0 1.5
19080.0 1.5
19140.0 1.5
19200.0 1.5
19260.0 1.5
19320.0 1.5
19380.0 1.5
19440.0 1.5
19500.0 1.5
19560.0 1.5
19620.0 1.5
19680.0 1.5
19740.0 1.5
19800.0 1.5
19860.0 1.5
19920.0 1.5
19980.0 1.5
20040.0 1.5
20100.0 1.5
20160.0 1.5
20220.0 1.5
20280.0 1.5
20340.0 1.5
20400.0 1.5
20460.0 1.5
20520.0 1.5
20580.0 1.5
20640.0 1.5
20700.0 1.5
20760.0 1.5
20820.0 1.5
20880.0 1.5
20940.0 1.5
21000.0 1.5
21060.0 1.5
21120.0 1.5
21180.0 1.5
21240.0 1.5
21300.0 1.5
21360.0 1.5
21420.0 1.5
21480.0 1.5
21540.0 1.5
21600.0 1.5
21660.0 1.5
21720.0 1.5
21780.0 1.5
21840.0 1.5
21900.0 1.5
21960.0 1.5
22020.0 1.5
22080.0 1.5
22140.0 1.5
22200.0 1.5
22260.0 1.5
22320.0 1.5
22380.0 1.5
22440.0 1.5
22500.0 1.5
22560.0 1.5
22620.0 1.5
22680.0 1.5
22740.0 1.5
22800.0 1.5
22860.0 1.5
22920.0 1.5
22980.0 1.5
23040.0 1.5
23100.0 1.5
23160.0 1.5
23220.0 1.5
23280.0 1.5
23340.0 1.5
23400.0 1.5
23460.0 1.5
23520.0 1.5
23580.0 1.5
23640.0 1.5
23700.0 1.5
23760.0 1.5
23820.0 1.5
23880.0 1.5
23940.0 1.5
24000.0 1.5
24060.0 1.5
24120.0 1.5
24180.0 1.5
24240.0 1.5
24300.0 1.5
24360.0 1.5
24420.0 1.5
24480.0 1.5
24540.0 1.5
