#1
# columns: time y
double CDL_Reals_Atan2_y(22,2)
0.0 0.7853981633974483
60.0 2.356194490192345
120.0 -2.356194490192345
180.0 -0.7853981633974483
240.0 0.0
300.0 -0.0
360.0 1.5707963267948966
420.0 -1.5707963267948966
480.0 3.141592653589793
540.0 -3.141592653589793
600.0 0.0
660.0 -0.0
720.0 3.141592653589793
780.0 -3.141592653589793
840.0 NaN
900.0 NaN
960.0 1.5707963267948966
1020.0 -1.5707963267948966
1080.0 0.0
1140.0 3.141592653589793
1200.0 0.7853981633974483
1260.0 -0.7853981633974483
