#1
# columns: time relief_damper_2_command
double G36_multizone_vav_relief_fan_group_relief_damper_2_command(161,2)
0.0 0.0
15.0 0.0
30.0 0.0
45.0 0.0
60.0 0.0
75.0 0.0
90.0 0.0
105.0 0.0
120.0 0.0
135.0 0.0
150.0 0.0
165.0 0.0
180.0 0.0
195.0 0.0
210.0 0.0
225.0 0.0
240.0 0.0
255.0 0.0
270.0 0.0
285.0 0.0
300.0 0.0
315.0 1.0
330.0 1.0
345.0 1.0
360.0 1.0
375.0 1.0
390.0 1.0
405.0 1.0
420.0 1.0
435.0 1.0
450.0 1.0
465.0 1.0
480.0 1.0
495.0 1.0
510.0 1.0
525.0 1.0
540.0 1.0
555.0 1.0
570.0 1.0
585.0 1.0
600.0 1.0
615.0 1.0
630.0 1.0
645.0 1.0
660.0 1.0
675.0 1.0
690.0 1.0
705.0 1.0
720.0 1.0
735.0 1.0
750.0 1.0
765.0 1.0
780.0 1.0
795.0 1.0
810.0 1.0
825.0 1.0
840.0 1.0
855.0 1.0
870.0 0.0
885.0 0.0
900.0 0.0
915.0 0.0
930.0 0.0
945.0 0.0
960.0 0.0
975.0 0.0
990.0 0.0
1005.0 0.0
1020.0 0.0
1035.0 0.0
1050.0 0.0
1065.0 0.0
1080.0 0.0
1095.0 0.0
1110.0 0.0
1125.0 0.0
1140.0 0.0
1155.0 0.0
1170.0 0.0
1185.0 0.0
1200.0 0.0
1215.0 0.0
1230.0 0.0
1245.0 0.0
1260.0 0.0
1275.0 0.0
1290.0 0.0
1305.0 0.0
1320.0 0.0
1335.0 0.0
1350.0 0.0
1365.0 0.0
1380.0 0.0
1395.0 0.0
1410.0 0.0
1425.0 0.0
1440.0 0.0
1455.0 0.0
1470.0 0.0
1485.0 0.0
1500.0 0.0
1515.0 0.0
1530.0 0.0
1545.0 0.0
1560.0 0.0
1575.0 0.0
1590.0 0.0
1605.0 0.0
1620.0 0.0
1635.0 0.0
1650.0 0.0
1665.0 0.0
1680.0 0.0
1695.0 0.0
1710.0 0.0
1725.0 0.0
1740.0 0.0
1755.0 0.0
1770.0 0.0
1785.0 0.0
1800.0 0.0
1815.0 0.0
1830.0 0.0
1845.0 0.0
1860.0 0.0
1875.0 0.0
1890.0 0.0
1905.0 0.0
1920.0 0.0
1935.0 0.0
1950.0 0.0
1965.0 0.0
1980.0 0.0
1995.0 0.0
2010.0 0.0
2025.0 0.0
2040.0 0.0
2055.0 0.0
2070.0 0.0
2085.0 0.0
2100.0 1.0
2115.0 1.0
2130.0 1.0
2145.0 1.0
2160.0 1.0
2175.0 1.0
2190.0 1.0
2205.0 0.0
2220.0 0.0
2235.0 0.0
2250.0 0.0
2265.0 0.0
2280.0 0.0
2295.0 0.0
2310.0 0.0
2325.0 0.0
2340.0 0.0
2355.0 0.0
2370.0 0.0
2385.0 0.0
2400.0 0.0
