#1
# columns: time relief_fan_3_speed
double G36_multizone_vav_relief_fan_group_relief_fan_3_speed(161,2)
0.0 0.0
15.0 0.0
30.0 0.0
45.0 0.0
60.0 0.0
75.0 0.0
90.0 0.0
105.0 0.0
120.0 0.0
135.0 0.0
150.0 0.0
165.0 0.0
180.0 0.0
195.0 0.0
210.0 0.0
225.0 0.0
240.0 0.0
255.0 0.0
270.0 0.0
285.0 0.0
300.0 0.0
315.0 0.0
330.0 0.0
345.0 0.0
360.0 0.0
375.0 0.0
390.0 0.0
405.0 0.0
420.0 0.0
435.0 0.0
450.0 0.0
465.0 0.0
480.0 0.0
495.0 0.0
510.0 0.0
525.0 0.0
540.0 0.0
555.0 0.0
570.0 0.0
585.0 0.0
600.0 0.0
615.0 0.0
630.0 0.0
645.0 0.0
660.0 0.0
675.0 0.0
690.0 0.0
705.0 0.0
720.0 0.0
735.0 0.0
750.0 0.0
765.0 0.0
780.0 0.0
795.0 0.0
810.0 0.0
825.0 0.0
840.0 0.0
855.0 0.0
870.0 0.5
885.0 0.5
900.0 0.5
915.0 0.5
930.0 0.5
945.0 0.5
960.0 0.5
975.0 0.5
990.0 0.5
1005.0 0.5
1020.0 0.5
1035.0 0.5
1050.0 0.5
1065.0 0.5
1080.0 0.5
1095.0 0.5
1110.0 0.5
1125.0 0.5
1140.0 0.5
1155.0 0.5
1170.0 0.5
1185.0 0.5
1200.0 0.5
1215.0 0.5
1230.0 0.5
1245.0 0.5
1260.0 0.5
1275.0 0.5
1290.0 0.5
1305.0 0.5
1320.0 0.5
1335.0 0.5
1350.0 0.5
1365.0 0.5
1380.0 0.5
1395.0 0.5
1410.0 0.5
1425.0 0.5
1440.0 0.5
1455.0 0.5
1470.0 0.5
1485.0 0.5
1500.0 0.5
1515.0 0.5
1530.0 0.5
1545.0 0.5
1560.0 0.5
1575.0 0.5
1590.0 0.5
1605.0 0.5
1620.0 0.47499999999999987
1635.0 0.44999999999999996
1650.0 0.42500000000000004
1665.0 0.40000000000000013
1680.0 0.375
1695.0 0.34999999999999987
1710.0 0.32499999999999996
1725.0 0.30000000000000004
1740.0 0.27500000000000013
1755.0 0.25
1770.0 0.22499999999999987
1785.0 0.19999999999999996
1800.0 0.17500000000000004
1815.0 0.15000000000000013
1830.0 0.125
1845.0 0.1
1860.0 0.1
1875.0 0.1
1890.0 0.1
1905.0 0.1
1920.0 0.1
1935.0 0.1
1950.0 0.1
1965.0 0.1
1980.0 0.1
1995.0 0.1
2010.0 0.1
2025.0 0.1
2040.0 0.1
2055.0 0.1
2070.0 0.1
2085.0 0.1
2100.0 0.0
2115.0 0.0
2130.0 0.0
2145.0 0.0
2160.0 0.0
2175.0 0.0
2190.0 0.0
2205.0 0.0
2220.0 0.0
2235.0 0.0
2250.0 0.0
2265.0 0.0
2280.0 0.0
2295.0 0.0
2310.0 0.0
2325.0 0.0
2340.0 0.0
2355.0 0.0
2370.0 0.0
2385.0 0.0
2400.0 0.0
